brand,model,price,discount,ram_DDR4,ram_DDR5,ram_lpddr4x,bit,windows,ssd(GB),hdd(GB),display,warranty_years,warranty_accidental,processor_amd_quad,processor_amd_octa,processor_amd_hexa,processor_intel
Infinix,INBOOK X2 PLUS CORE I3 11TH GEN,38990,22.0,0.0,0.0,8.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Acer,ASPIRE 7 RYZEN 5 HEXA CORE 5500U,56990,36.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Dell,CORE I5 11TH GEN,65990,12.0,0.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,0.0
Apple,2022 MACBOOK PRO M2,129900,23.65,0.0,0.0,0.0,0.0,other,256.0,0.0,13.3,1.0,0,0,0,0,0.0
Hp,VICTUS INTEL CORE I5 12TH GEN,67990,18.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Apple,2022 MACBOOK PRO M2,168900,23.65,0.0,0.0,0.0,0.0,other,512.0,0.0,13.3,1.0,0,0,0,0,0.0
Infinix,X1 SLIM SERIES CORE I3 10TH GEN,32990,34.0,0.0,0.0,8.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,3.0
Hp,ENVY 13 INTEL CORE I5 12TH GEN,79990,12.0,0.0,0.0,8.0,0.0,11.0,512.0,0.0,13.3,1.0,0,0,0,0,5.0
Dell,INSPIRON CORE I5 12TH GEN,80490,23.0,16.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,5.0
Dell,CORE I5 12TH GEN,76490,23.0,0.0,16.0,0.0,64.0,11.0,512.0,0.0,13.3,1.0,0,0,0,0,5.0
Dell,RYZEN 3 QUAD CORE 5425U,38990,31.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,0.0
Infinix,INBOOK X2 PLUS CORE I7 11TH GEN,57990,27.0,0.0,0.0,16.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,7.0
Dell,INSPIRON RYZEN 7 OCTA CORE 5825U,59990,29.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,0.0
Asus,VIVOBOOK FLIP 14 CORE I5 11TH GEN,61990,25.0,0.0,0.0,8.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Lenovo,IDEAPAD GAMING 3 CORE I5 11TH GEN,64990,30.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,1,0,0,0,5.0
Asus,EEEBOOK 14 WITH NUMBERPAD PENTIUM SILVER,27990,31.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,
